accel_x,accel_y,accel_z,range_sensor,t
-0.029297,0.080078,-0.921631,115.0,0.0
-0.026367,0.060059,-0.951172,115.0,0.010992
-0.012207,0.062988,-0.936035,116.0,0.022019
-0.061523,0.061035,-0.925049,115.0,0.04599
-0.018311,0.057617,-0.908203,117.0,0.076994
-0.017578,0.072998,-0.924072,114.0,0.109463
-0.029053,0.103027,-0.907471,118.0,0.141459
-0.02124,0.067139,-0.916992,113.0,0.17246
-0.028809,0.068115,-0.924072,115.0,0.203471
-0.037109,0.079102,-0.923096,115.0,0.235678
-0.023682,0.078369,-0.937744,115.0,0.267482
-0.043213,0.059082,-0.929199,115.0,0.299197
-0.001465,0.063232,-0.927002,114.0,0.330724
-0.025879,0.058594,-0.921143,116.0,0.361726
-0.031006,0.059326,-0.930908,118.0,0.394175
-0.030273,0.061035,-0.930664,116.0,0.425749
-0.027344,0.075928,-0.935059,116.0,0.456731
-0.033203,0.072754,-0.931396,118.0,0.48874
-0.03418,0.074219,-0.935547,117.0,0.52073
-0.02832,0.063477,-0.933105,116.0,0.551961
-0.036377,0.075195,-0.924561,115.0,0.582737
-0.040283,0.081299,-0.943115,118.0,0.614946
-0.041504,0.070801,-0.915527,119.0,0.646732
-0.019775,0.076416,-0.952393,117.0,0.678732
-0.027588,0.080078,-0.93335,116.0,0.709732
-0.030029,0.123291,-0.928467,114.0,0.741656
-0.024658,0.094971,-0.917969,115.0,0.773653
-0.039307,0.056396,-0.927734,116.0,0.804834
-0.009766,0.056885,-0.934814,115.0,0.836651
-0.033203,0.078613,-0.934814,114.0,0.868632
-0.0354,0.062012,-0.940674,112.0,0.899861
-0.03418,0.093262,-0.940674,114.0,0.931629
-0.034912,0.061035,-0.932861,115.0,0.962822
-0.032471,0.060059,-0.926758,116.0,0.994642
-0.036133,0.064209,-0.918701,116.0,1.026629
-0.028564,0.090332,-0.922607,116.0,1.05863
-0.034668,0.074463,-0.92627,111.0,1.089767
-0.025879,0.083008,-0.922607,114.0,1.120625
-0.022949,0.078369,-0.940918,118.0,1.152827
-0.037354,0.063721,-0.921143,115.0,1.183831
-0.0271,0.081299,-0.933838,117.0,1.215838
-0.022461,0.063477,-0.925781,117.0,1.247829
-0.034668,0.079102,-0.937988,114.0,1.278846
-0.033203,0.074707,-0.928955,117.0,1.310852
-0.007324,0.051025,-0.919922,114.0,1.341936
-0.032959,0.055176,-0.93335,117.0,1.373937
-0.022217,0.053711,-0.927734,117.0,1.405927
-0.031738,0.075928,-0.921631,115.0,1.437942
-0.02002,0.091309,-0.924805,116.0,1.469145
