accel_x,accel_y,accel_z,range_sensor,t
-0.034668,0.05127,-0.902832,101.0,0.0
-0.04126,0.054199,-0.912842,99.0,0.008024
-0.010986,0.059326,-0.920166,100.0,0.016043
-0.021973,0.05957,-0.920166,103.0,0.045024
-0.0271,0.05835,-0.944824,99.0,0.077006
-0.032471,0.08252,-0.932861,100.0,0.108039
-0.044189,0.065674,-0.942139,99.0,0.140189
-0.03125,0.08667,-0.93457,100.0,0.171608
-0.033936,0.075439,-0.917725,102.0,0.202633
-0.037354,0.048096,-0.928223,101.0,0.234533
-0.034912,0.056152,-0.922363,97.0,0.266505
-0.029297,0.072021,-0.917725,101.0,0.297532
-0.04248,0.055664,-0.971191,99.0,0.329545
-0.044922,0.065674,-0.926758,103.0,0.361545
-0.033203,0.052979,-0.924316,101.0,0.392794
-0.031738,0.049561,-0.925537,101.0,0.424998
-0.037109,0.081543,-0.946777,99.0,0.456012
-0.028809,0.081299,-0.928955,100.0,0.48699
-0.032715,0.075928,-0.928955,102.0,0.518989
-0.023438,0.065186,-0.944336,97.0,0.551039
-0.0354,0.115723,-0.929199,99.0,0.583021
-0.039795,0.052979,-0.934082,100.0,0.61399
-0.034424,0.081787,-0.951172,100.0,0.646059
-0.024902,0.055908,-0.919922,100.0,0.677021
-0.019531,0.053955,-0.927246,98.0,0.709021
-0.026123,0.057373,-0.94873,98.0,0.740021
-0.030029,0.046875,-0.929688,98.0,0.772021
-0.033936,0.076172,-0.930664,103.0,0.804002
-0.025146,0.048584,-0.941406,99.0,0.835195
-0.033203,0.086914,-0.941406,101.0,0.867188
-0.026367,0.061035,-0.941162,100.0,0.898213
-0.032959,0.061035,-0.933105,97.0,0.930211
-0.013916,0.085938,-0.941406,100.0,0.961211
-0.033203,0.063232,-0.922607,102.0,0.993194
-0.04248,0.06665,-0.931885,101.0,1.025213
-0.033203,0.052002,-0.913818,98.0,1.056211
-0.023193,0.07251,-0.929443,102.0,1.087925
-0.035889,0.042236,-0.929199,101.0,1.11996
-0.031738,0.05249,-0.936523,97.0,1.150955
-0.024902,0.062988,-0.943848,102.0,1.183742
-0.032715,0.078857,-0.937012,101.0,1.214743
-0.032471,0.079834,-0.93042,98.0,1.246751
-0.014404,0.072754,-0.940918,100.0,1.277742
-0.022461,0.078369,-0.928223,101.0,1.309714
-0.025879,0.074707,-0.94165,102.0,1.340742
-0.030518,0.054688,-0.926514,102.0,1.372719
-0.018311,0.073975,-0.9375,96.0,1.404742
-0.036621,0.063965,-0.925049,101.0,1.435732
-0.043945,0.077148,-0.95166,104.0,1.467732
-0.04126,0.074219,-0.934326,95.0,1.498708
-0.029297,0.05835,-0.897461,98.0,1.530742
-0.018555,0.062988,-0.908203,101.0,1.562834
-0.03125,0.058594,-0.934326,99.0,1.593742
