u, y, t
0,0,1117
21,0,1122
21,0,1127
22,0,1132
22,0,1137
22,0,1142
22,0,1147
22,0,1152
22,0,1157
23,0,1162
23,0,1167
23,0,1172
23,0,1177
23,0,1182
23,0,1187
24,0,1192
24,0,1197
24,0,1202
24,0,1207
24,0,1212
24,0,1217
25,0,1222
25,0,1227
25,0,1232
25,0,1238
25,0,1243
26,0,1248
26,0,1253
26,0,1258
26,0,1263
26,0,1268
26,0,1273
27,0,1278
27,0,1283
27,0,1288
27,0,1293
27,0,1298
27,0,1303
28,0,1308
28,0,1313
28,0,1318
28,0,1323
28,0,1328
28,0,1333
29,0,1338
29,0,1343
29,0,1348
29,0,1353
29,0,1358
29,0,1363
30,0,1368
30,0,1373
30,0,1378
30,0,1383
30,0,1388
30,0,1393
31,0,1398
31,0,1403
31,0,1408
31,0,1413
31,0,1418
31,0,1423
32,0,1428
32,0,1433
32,0,1438
32,0,1443
32,0,1448
32,0,1453
33,0,1458
33,0,1463
33,0,1468
33,0,1473
33,0,1478
34,0,1483
34,0,1488
34,0,1494
34,0,1499
34,0,1504
34,0,1509
35,0,1514
35,0,1519
35,0,1524
35,0,1529
35,0,1534
35,0,1539
36,0,1544
36,0,1549
36,0,1554
36,0,1559
36,0,1564
36,0,1569
37,0,1574
37,0,1579
37,0,1584
37,0,1589
37,0,1594
37,0,1599
38,0,1604
38,-1,1609
38,-1,1614
38,-1,1619
38,-1,1624
38,-5,1629
39,-13,1634
39,-27,1639
39,-47,1644
39,-75,1649
39,-110,1654
39,-148,1659
40,-181,1664
40,-228,1669
40,-278,1674
40,-333,1679
40,-391,1684
40,-451,1689
41,-513,1694
41,-577,1699
41,-642,1704
41,-692,1709
41,-753,1714
42,-814,1719
42,-877,1724
42,-939,1729
42,-1000,1734
42,-1064,1739
42,-1131,1744
43,-1198,1750
43,-1264,1755
43,-1331,1760
43,-1403,1765
43,-1473,1770
43,-1543,1775
44,-1613,1780
44,-1685,1785
44,-1754,1790
44,-1806,1795
44,-1869,1800
44,-1934,1805
45,-1992,1810
45,-2048,1815
45,-2106,1820
45,-2166,1825
45,-2230,1830
45,-2283,1835
46,-2348,1840
46,-2417,1845
46,-2489,1850
46,-2563,1855
46,-2636,1860
46,-2710,1865
47,-2782,1870
47,-2854,1875
47,-2910,1880
47,-2982,1885
47,-3055,1890
47,-3128,1895
48,-3203,1900
48,-3278,1905
48,-3356,1910
48,-3432,1915
48,-3494,1920
48,-3573,1925
49,-3653,1930
49,-3734,1935
49,-3811,1940
49,-3887,1945
49,-3961,1950
49,-4032,1955
50,-4099,1960
50,-4157,1965
50,-4230,1970
50,-4303,1975
50,-4379,1980
51,-4459,1985
51,-4540,1990
51,-4623,1995
51,-4708,2000
51,-4790,2006
51,-4870,2011
52,-4951,2016
52,-5034,2021
52,-5112,2026
52,-5195,2031
52,-5282,2036
52,-5365,2041
53,-5450,2046
53,-5523,2051
53,-5611,2056
53,-5698,2061
53,-5789,2066
53,-5873,2071
54,-5956,2076
54,-6038,2081
54,-6116,2086
54,-6175,2091
54,-6249,2096
54,-6329,2101
55,-6409,2106
55,-6493,2111
55,-6580,2116
55,-6670,2121
55,-6759,2126
55,-6849,2131
56,-6919,2136
56,-7006,2141
56,-7094,2146
56,-7184,2151
56,-7274,2156
56,-7365,2161
57,-7458,2166
57,-7551,2171
57,-7626,2176
57,-7723,2181
57,-7819,2186
57,-7912,2191
58,-8004,2196
58,-8092,2201
58,-8177,2206
58,-8265,2211
58,-8354,2216
59,-8425,2221
59,-8518,2226
59,-8615,2231
59,-8710,2236
59,-8809,2241
59,-8906,2246
60,-9000,2251
60,-9097,2256
60,-9191,2262
60,-9287,2267
60,-9389,2272
60,-9485,2277
61,-9587,2282
61,-9692,2287
61,-9792,2292
61,-9893,2297
61,-9994,2302
61,-10072,2307
62,-10165,2312
62,-10258,2317
62,-10349,2322
62,-10447,2327
62,-10545,2332
62,-10644,2337
63,-10748,2342
63,-10832,2347
63,-10936,2352
63,-11037,2357
63,-11138,2362
63,-11242,2367
64,-11343,2372
64,-11447,2377
64,-11554,2382
64,-11661,2387
64,-11751,2392
64,-11863,2397
65,-11968,2402
65,-12072,2407
65,-12174,2412
65,-12272,2417
65,-12375,2422
65,-12475,2427
66,-12558,2432
66,-12668,2437
66,-12777,2442
66,-12891,2447
66,-13001,2452
67,-13102,2457
67,-13211,2462
67,-13314,2467
67,-13427,2472
67,-13519,2477
67,-13632,2482
68,-13751,2487
68,-13870,2492
68,-13991,2497
68,-14104,2502
68,-14215,2507
68,-14321,2512
69,-14427,2518
69,-14540,2523
69,-14655,2528
69,-14774,2533
69,-14895,2538
69,-15016,2543
70,-15131,2548
70,-15244,2553
70,-15356,2558
70,-15446,2563
70,-15557,2568
70,-15670,2573
71,-15783,2578
71,-15901,2583
71,-16016,2588
71,-16129,2593
71,-16236,2598
71,-16318,2603
72,-16428,2608
72,-16540,2613
72,-16656,2618
72,-16778,2623
72,-16899,2628
72,-17019,2633
73,-17128,2638
73,-17243,2643
73,-17332,2648
73,-17441,2653
73,-17554,2658
73,-17665,2663
74,-17781,2668
74,-17897,2673
74,-18014,2678
74,-18129,2683
74,-18216,2688
75,-18326,2693
75,-18433,2698
75,-18545,2703
75,-18660,2708
75,-18779,2713
75,-18904,2718
76,-19024,2723
76,-19147,2728
76,-19240,2733
76,-19363,2738
76,-19489,2743
76,-19611,2748
77,-19737,2753
77,-19863,2758
77,-19995,2763
77,-20119,2768
77,-20247,2774
77,-20370,2779
78,-20492,2784
78,-20613,2789
78,-20738,2794
78,-20868,2799
78,-21000,2804
78,-21132,2809
79,-21259,2814
79,-21363,2819
79,-21492,2824
79,-21626,2829
79,-21754,2834
79,-21890,2839
80,-22021,2844
80,-22156,2849
80,-22284,2854
80,-22386,2859
80,-22513,2864
80,-22639,2869
81,-22766,2874
81,-22900,2879
81,-23035,2884
81,-23169,2889
81,-23302,2894
81,-23432,2899
82,-23538,2904
82,-23676,2909
82,-23812,2914
82,-23950,2919
82,-24087,2924
83,-24228,2929
83,-24360,2934
83,-24491,2939
83,-24594,2944
83,-24719,2949
83,-24858,2954
84,-24988,2959
84,-25126,2964
84,-25259,2969
84,-25399,2974
84,-25537,2979
84,-25677,2984
85,-25787,2989
85,-25930,2994
85,-26076,2999
85,-26223,3004
85,-26360,3009
85,-26492,3014
86,-26624,3019
86,-26760,3024
86,-26902,3030
86,-27047,3035
86,-27188,3040
86,-27329,3045
87,-27473,3050
87,-27615,3055
87,-27762,3060
87,-27907,3065
87,-28054,3070
87,-28172,3075
88,-28316,3080
88,-28453,3085
88,-28592,3090
88,-28727,3095
88,-28870,3100
88,-29011,3105
89,-29161,3110
89,-29274,3115
89,-29420,3120
89,-29566,3125
89,-29717,3130
89,-29865,3135
90,-30016,3140
90,-30171,3145
90,-30315,3150
90,-30457,3155
90,-30570,3160
91,-30710,3165
91,-30850,3170
91,-30998,3175
91,-31151,3180
91,-31300,3185
91,-31451,3190
92,-31597,3195
92,-31715,3200
92,-31870,3205
92,-32028,3210
92,-32187,3215
92,-32341,3220
93,-32491,3225
93,-32642,3230
93,-32787,3235
93,-32944,3240
93,-33068,3245
93,-33223,3250
94,-33379,3255
94,-33530,3260
94,-33688,3265
94,-33844,3270
94,-34001,3275
94,-34159,3280
95,-34317,3286
95,-34470,3291
95,-34617,3296
95,-34770,3301
95,-34922,3306
95,-35083,3311
96,-35243,3316
96,-35396,3321
96,-35560,3326
96,-35688,3331
96,-35854,3336
96,-36017,3341
97,-36185,3346
97,-36349,3351
97,-36504,3356
97,-36664,3361
97,-36825,3366
97,-36955,3371
98,-37126,3376
98,-37285,3381
98,-37453,3386
98,-37615,3391
98,-37783,3396
99,-37952,3401
99,-38121,3406
99,-38289,3411
99,-38421,3416
99,-38578,3421
99,-38741,3426
100,-38902,3431
100,-39073,3436
100,-39240,3441
100,-39398,3446
100,-39568,3451
100,-39702,3456
101,-39877,3461
101,-40052,3466
101,-40227,3471
101,-40396,3476
101,-40560,3481
101,-40728,3486
102,-40898,3491
102,-41074,3496
102,-41210,3501
102,-41386,3506
102,-41555,3511
102,-41734,3516
103,-41911,3521
103,-42084,3526
103,-42265,3531
103,-42439,3536
103,-42604,3542
103,-42779,3547
104,-42953,3552
104,-43133,3557
104,-43315,3562
104,-43489,3567
104,-43667,3572
104,-43841,3577
105,-44018,3582
105,-44155,3587
105,-44337,3592
105,-44501,3597
105,-44678,3602
105,-44856,3607
106,-45028,3612
106,-45200,3617
106,-45373,3622
106,-45515,3627
106,-45697,3632
107,-45881,3637
107,-46067,3642
107,-46252,3647
107,-46427,3652
107,-46606,3657
107,-46779,3662
108,-46966,3667
108,-47110,3672
108,-47294,3677
108,-47468,3682
108,-47650,3687
108,-47835,3692
109,-48018,3697
109,-48204,3702
109,-48384,3707
109,-48527,3712
109,-48697,3717
109,-48883,3722
110,-49068,3727
110,-49250,3732
110,-49433,3737
110,-49618,3742
110,-49804,3747
110,-49990,3752
111,-50142,3757
111,-50328,3762
111,-50503,3767
111,-50685,3772
111,-50872,3777
111,-51057,3782
112,-51246,3787
112,-51436,3792
112,-51627,3798
112,-51818,3803
112,-52015,3808
112,-52205,3813
113,-52393,3818
113,-52582,3823
113,-52773,3828
113,-52963,3833
113,-53151,3838
113,-53297,3843
114,-53484,3848
114,-53679,3853
114,-53875,3858
114,-54068,3863
114,-54255,3868
115,-54442,3873
115,-54631,3878
115,-54782,3883
115,-54976,3888
115,-55163,3893
115,-55362,3898
116,-55551,3903
116,-55751,3908
116,-55947,3913
116,-56143,3918
116,-56332,3923
116,-56489,3928
117,-56683,3933
117,-56883,3938
117,-57085,3943
117,-57282,3948
117,-57476,3953
117,-57667,3958
118,-57865,3963
118,-58029,3968
118,-58230,3973
118,-58423,3978
118,-58618,3983
118,-58821,3988
119,-59027,3993
119,-59229,3998
119,-59432,4003
119,-59637,4008
119,-59799,4013
119,-60005,4018
120,-60202,4023
120,-60399,4028
120,-60596,4033
120,-60799,4038
120,-61008,4043
120,-61208,4048
121,-61411,4054
121,-61612,4059
121,-61815,4064
121,-62018,4069
121,-62219,4074
121,-62424,4079
122,-62622,4084
122,-62839,4089
122,-63049,4094
122,-63207,4099
122,-63417,4104
123,-63630,4109
123,-63849,4114
123,-64064,4119
123,-64271,4124
123,-64479,4129
123,-64693,4134
124,-64864,4139
124,-65070,4144
124,-65274,4149
124,-65480,4154
124,-65693,4159
124,-65911,4164
125,-66125,4169
125,-66327,4174
125,-66537,4179
125,-66710,4184
125,-66920,4189
125,-67125,4194
126,-67339,4199
126,-67558,4204
126,-67774,4209
126,-67995,4214
126,-68200,4219
126,-68373,4224
127,-68594,4229
127,-68817,4234
127,-69030,4239
127,-69242,4244
127,-69462,4249
127,-69685,4254
128,-69907,4259
128,-70117,4264
128,-70289,4269
128,-70505,4274
128,-70728,4279
128,-70953,4284
129,-71171,4289
129,-71392,4294
129,-71614,4299
129,-71828,4304
129,-72041,4310
129,-72255,4315
130,-72477,4320
130,-72693,4325
130,-72912,4330
130,-73132,4335
130,-73353,4340
130,-73574,4345
131,-73796,4350
131,-73972,4355
131,-74182,4360
131,-74406,4365
131,-74633,4370
